pre_corridor_id,post_corridor_id,metric,pre_value,post_value
Skyland / Barry Farm,Skyland / Barry Farm,Median Speed (MPH),9.850346758290916,10.499241830068001
Southern Av / Anacostia,Southern Av / Anacostia,Median Speed (MPH),10.455975612984382,11.831504568644734
U St,U St,Median Speed (MPH),8.8709931272901,8.375055231897395
Upper NW,Upper NW,Median Speed (MPH),11.467334695743936,11.050129632058486
Wisconsin Ave,Wisconsin Ave,Median Speed (MPH),7.722175849956774,7.83830790018145
11 St / New Hampshire,11 St / New Hampshire,Mean Trips,207.07638888888889,120.73846153846154
14th St,14th St,Mean Trips,382.17931034482757,377.10769230769233
16th St,16th St,Mean Trips,407.8,411.96923076923076
18th St NE,18th St NE,Mean Trips,272.1458333333333,87.35384615384615
5th St NW,5th St NW,Mean Trips,109.07638888888889,124.8923076923077
Alabama Ave,Alabama Ave,Mean Trips,590.6206896551724,304.83076923076925
Bladensburg,Bladensburg,Mean Trips,226.57931034482758,224.07692307692307
Connecticut Ave,Connecticut Ave,Mean Trips,231.4551724137931,130.8923076923077
Foggy Bottom / Mt Pleasant / Brookland,Foggy Bottom / Mt Pleasant / Brookland,Mean Trips,542.0689655172414,340.83076923076925
Georgetown / LeDroit Park,Georgetown / LeDroit Park,Mean Trips,76.66666666666667,76.61538461538461
Georgia Ave,Georgia Ave,Mean Trips,456.2758620689655,388.4923076923077
H St / Benning Rd / D St,H St / Benning Rd / D St,Mean Trips,429.6551724137931,461.5076923076923
Irving / Michigan,Irving / Michigan,Mean Trips,325.4413793103448,285.44615384615383
K St / Ivy City,K St / Ivy City,Mean Trips,189.4375,108.8923076923077
Kansas / Eastern,Kansas / Eastern,Mean Trips,43.0,51.0
MLK Ave / 4 St SE,MLK Ave / 4 St SE,Mean Trips,429.93793103448274,321.2769230769231
MLK Ave / Bellevue,MLK Ave / Bellevue,Mean Trips,562.0413793103448,253.6153846153846
MacArthur Blvd,MacArthur Blvd,Mean Trips,107.38194444444444,97.32307692307693
Maryland Ave,Maryland Ave,Mean Trips,75.70833333333333,75.56923076923077
Massachusetts Ave,Massachusetts Ave,Mean Trips,263.875,189.7846153846154
Minnesota Ave / Eastern,Minnesota Ave / Eastern,Mean Trips,561.3172413793103,511.84615384615387
Minnesota Ave / Pennsylvania Ave,Minnesota Ave / Pennsylvania Ave,Mean Trips,196.01388888888889,131.8153846153846
N Capitol St,N Capitol St,Mean Trips,316.82068965517243,175.86153846153846
Naylor Rd - Shepherd Pkwy,Naylor Rd - Shepherd Pkwy,Mean Trips,300.3241379310345,114.8923076923077
Pennsylvania Ave,Pennsylvania Ave,Mean Trips,261.17241379310343,272.7846153846154
