pre_route_id,post_route_id,metric,pre_value,post_value,corridor
N4,D90,Mean Headway (Minutes),29.155016015542948,20.543296703296704,Massachusetts Ave
N4,D96,Mean Headway (Minutes),29.155016015542948,24.32542372881356,Massachusetts Ave
N6,D90,Mean Headway (Minutes),36.410256410256416,20.543296703296704,Massachusetts Ave
N6,D96,Mean Headway (Minutes),36.410256410256416,24.32542372881356,Massachusetts Ave
P6,D30,Mean Headway (Minutes),18.676792073380096,14.96617746288799,N Capitol St
P6,D34,Mean Headway (Minutes),18.676792073380096,23.67280473822894,Rhode Island Ave / NE
S2,D60,Mean Headway (Minutes),12.972499311230866,11.927698762130888,16th St
S2,D6X,Mean Headway (Minutes),12.972499311230866,10.255577131127076,16th St
S9,D60,Mean Headway (Minutes),9.25359130872666,11.927698762130888,16th St
S9,D6X,Mean Headway (Minutes),9.25359130872666,10.255577131127076,16th St
U4,C33,Mean Headway (Minutes),12.61632982611907,14.53204130552546,Minnesota Ave / Eastern
U5,C37,Mean Headway (Minutes),34.08638211382114,17.26185421396118,Minnesota Ave / Pennsylvania Ave
U6,C35,Mean Headway (Minutes),29.842934854497358,20.368803418803417,Minnesota Ave / Eastern
U7,C35,Mean Headway (Minutes),24.24611396786987,20.368803418803417,Minnesota Ave / Eastern
V2,C31,Mean Headway (Minutes),20.045740827522444,9.731392931392929,Minnesota Ave / Eastern
V4,C31,Mean Headway (Minutes),20.9331840388466,9.731392931392929,Minnesota Ave / Eastern
V7,C21,Mean Headway (Minutes),39.650977082203106,10.916683887882812,Alabama Ave
V7,C23,Mean Headway (Minutes),39.650977082203106,29.168199554069115,Alabama Ave
V8,C21,Mean Headway (Minutes),20.217578729432276,10.916683887882812,Alabama Ave
V8,C23,Mean Headway (Minutes),20.217578729432276,29.168199554069115,Alabama Ave
W1,C27,Mean Headway (Minutes),25.731884057971016,17.622710622710624,Naylor Rd - Shepherd Pkwy
W2,C27,Mean Headway (Minutes),40.38351782092147,17.622710622710624,Naylor Rd - Shepherd Pkwy
W2,C29,Mean Headway (Minutes),40.38351782092147,20.231648351648353,Southern Av / Anacostia
